partner,United Kingdom,netweight_kg,Argentina,Austria,Belgium,Brazil,Bulgaria,Chile,Croatia,Czech Rep.,Denmark,Finland,France,China,Germany,Greece,Hungary,Ireland,Israel,Italy,Lithuania,Estonia,Latvia,Luxembourg,Malta,Netherlands,Norway,Poland,Portugal,Romania,Cyprus,Slovakia,Slovenia,Spain,Sweden,Switzerland,Thailand,Ukraine,United States of America
Argentina,27514691.0,14246326.0,,,,25620024.0,,92142086.0,,,,,,7527985.0,,,,,,,,,,,,13800884.0,,,,,,,,,,8236818.0,,,
Austria,226910.0,50920.0,,,,,,,,,,,6150130.0,,,,40851162.0,,,8204428.0,,,,,,,,,,4628634.0,,,15029767.0,,,9340804.0,,,
Belgium,236110495.0,96801397.0,,,,,,,,,,,703492672.0,,,17080194.0,,16866988.0,,6174758.0,,,,,8533582.0,239269593.0,,,,4606730.0,,,,34858069.0,,,,,
Brazil,43833933.0,17134139.0,14810265.0,,20745729.0,,,229809493.0,,,,13461956.0,52477116.0,48642345.0,,,,19933220.0,,17222270.0,,,,,,257270861.0,,,,8530905.0,,46114622.0,,158188979.0,,179645103.0,,,
Bulgaria,13307821.0,2758899.0,,,38085994.0,,,,,,,,216543575.0,,,122725753.0,,,,,,,,,,,,,,37024223.0,7723479.0,,,7239525.0,,,,,
Chile,85039115.0,21016922.0,,,,,,,,,5453822.0,,,5427987.0,,,,,,11189720.0,,,,,,15184127.0,,,,,,,,,,,,,
China,,,,,,,,,,,,,10384476.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,4020.0,17.0,,8646649.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16065139.0,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7607572.0,,,,,,,,,
Czech Rep.,131850.0,39914.0,,17133458.0,,,7265033.0,,,,,,,,,,8914040.0,,,,,,,,,8181852.0,,5413325.0,,,,38285605.0,,,,,,,
Denmark,59381839.0,17740343.0,,,4211552.0,,,,5810875.0,,,,15344795.0,,,6020139.0,4630743.0,,,,,3989614.0,,,,5861417.0,,,,,,,,5710384.0,356906112.0,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,4091317.0,,32885874.0,,,,,,,7494553.0,,,,,,,,,
Finland,454783.0,460800.0,,,,,,,,,,,,,,,,,,,3905123.0,15745687.0,,,,,,,,,,,,,3998778.0,,,,
France,191443420.0,47644020.0,,20550586.0,377425095.0,,12351936.0,,,,79806245.0,8979701.0,34446202.0,,,31320404.0,,13725297.0,,45660504.0,,,5463775.0,,,78892414.0,,9477761.0,27579173.0,,,,,233220067.0,13831119.0,137020764.0,,3920781.0,
Germany,372983841.0,102264079.0,,483555373.0,92460651.0,,22668552.0,,4019239.0,,164325152.0,26274180.0,498336708.0,,,18102882.0,41609246.0,92169701.0,,177187919.0,,3800214.0,4167368.0,,,446243317.0,,64580837.0,33624761.0,58638393.0,7141357.0,10852993.0,25328123.0,139769621.0,53175304.0,105716217.0,,22705343.0,
Greece,1717128.0,439224.0,,,,,25709034.0,,,,,,,,,,,,,,,,,,,,,,,,8200583.0,,,,,,,,
Hungary,76633695.0,20868570.0,,201359006.0,86687102.0,,24530277.0,,50991773.0,,14469509.0,,161773079.0,,,,,,45621000.0,57065722.0,,4232379.0,,,,22921299.0,,15525017.0,10181137.0,166264403.0,,77226261.0,64668670.0,10535913.0,,108183746.0,,6020710.0,
Ireland,455013650.0,122532518.0,,,,,,,,,,,24992493.0,,,,,,,,,,,,,10774224.0,,,,,,,,9698036.0,,,,,
Israel,714194.0,128418.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,139419796.0,44048536.0,,60119578.0,14425878.0,,6278892.0,,20333950.0,,6371889.0,,88682504.0,,,82807548.0,,18091020.0,,,,,,,9621743.0,12072836.0,,8557004.0,49122158.0,12066814.0,,,12742951.0,26723346.0,,24619374.0,,,
Latvia,,,,,,,,,,,,,,,,,,,,,12295479.0,12584153.0,,,,,,,,,,,,,11672328.0,,,,
Lithuania,14793792.0,3733156.0,,4032260.0,,,,,,,5808932.0,8699346.0,35509804.0,,,,,,,,,37144567.0,39603697.0,,,60467312.0,,,,,,,,,5235555.0,,,,
Luxembourg,73603.0,20800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,222466.0,221650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,2263697895.0,581600890.0,,45653334.0,595230806.0,,32057481.0,,13863991.0,,86462118.0,9829247.0,695299661.0,,,109612608.0,30144019.0,396376586.0,,57912818.0,11439943.0,5760764.0,3805911.0,,9723646.0,,,12558001.0,26535078.0,68095395.0,33876657.0,6790186.0,,119802928.0,96725855.0,9535117.0,5832266.0,3997376.0,
Norway,538220.0,462048.0,,,,,,,,,11067062.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,755353692.0,201571423.0,,65154587.0,130389966.0,,145536754.0,,45771001.0,,37239191.0,7048569.0,470353074.0,,,18480386.0,45159969.0,55474570.0,,52320143.0,118494405.0,9118475.0,25191783.0,,5479846.0,118705684.0,,,58217890.0,94025104.0,7773171.0,89742417.0,9794407.0,124194788.0,12003282.0,7163873.0,,38610862.0,
Portugal,3817328.0,1092117.0,,,,,,,,,,,28158861.0,,,,,,,,,,,,,,,,,,,,,44222090.0,,,,,
Romania,110622238.0,30756514.0,,,,,43631297.0,,4774905.0,,,,72461253.0,,,36133224.0,21856402.0,,,5006779.0,,,,,7835112.0,10956115.0,,4569025.0,,,,12131249.0,,,,,,,
Slovakia,747516.0,306409.0,,4926419.0,,,,,,,,,,,,,17108484.0,,,,,,,,,,,33690187.0,,,,,,,,,,,
Slovenia,237699.0,159941.0,,48420933.0,,,,,16524349.0,,,,,,,,,,,15164601.0,,,,,,,,,,,,,,,,25126771.0,,,
Spain,51002386.0,25332937.0,,,19996472.0,,,,,,,,233205235.0,,,,,,,12179457.0,,,,,,,,,279608363.0,11122652.0,,,,,,,,,
Sweden,7251.0,3575.0,,,,,,,,,79695994.0,6676587.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,7927856.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,33543510.0,10246217.0,,,,,,,,,,10097526.0,13140868.0,,,,,23753572.0,,,,,,,,26645164.0,,,,,,,,,,,,,
Ukraine,25377.0,18480.0,,,,,,,,,,,,,,,,,,,,,,,,118187137.0,,,,13119565.0,,,,,,,,,
United Kingdom,1981486.0,1674739.0,,,25207847.0,,,,,,18314588.0,,187582170.0,,,7870681.0,13366995.0,355578175.0,,5349913.0,,,8045211.0,,,94044907.0,,34093790.0,11472669.0,20551686.0,,,,86743911.0,6137953.0,,,6559602.0,
United States of America,1294.0,1836.0,,,,,,157289558.0,,,,,,20244902.0,,,,,,,,,,,,,,,,,,,,,,,,,
